ANZSCO Code,occupation,employed,parttime,female,earnings,age,growth,,
7112,Industrial Spraypainters,5900,5,2,N/A,40,-100,,
7113,Paper and Wood Processing Machine Operators,5100,24,10,1451,45,-600,,
7114,Photographic Developers and Printers,1300,76,75,1406,43,0,,
7115,Plastics and Rubber Production Machine Operators,8100,6,5,1708,44,300,,
7116,Sewing Machinists,6500,46,84,1067,53,-200,,
7117,Textile and Footwear Production Machine Operators,1600,N/A,N/A,1225,46,-100,,
7119,Other Machine Operators,11800,26,44,1554,44,-100,,
7121,Crane Hoist and Lift Operators,20200,5,8,3411,46,2400,,
7122,Drillers Miners and Shot Firers,72000,3,14,2908,40,3000,,
7123,Engineering Production Workers,20100,9,9,1656,41,-400,,
7129,Other Stationary Plant Operators,24100,7,21,2019,40,-300,,
7211,Agricultural Forestry and Horticultural Plant Operators,15700,10,8,1403,37,-100,,
7212,Earthmoving Plant Operators,51400,6,5,1900,44,300,,
7213,Forklift Drivers,71300,13,5,1340,41,1200,,
7219,Other Mobile Plant Operators,13100,16,8,1696,37,100,,
7311,Automobile Drivers,50800,40,9,N/A,45,-1400,,
7312,Bus and Coach Drivers,40800,40,16,1795,54,-200,,
7313,Train and Tram Drivers,18700,6,16,3001,47,1500,,
7321,Delivery Drivers,85500,49,15,1308,38,600,,
7331,Truck Drivers,195800,13,6,1960,45,200,,
7411,Storepersons,166600,32,28,1328,35,2400,,
8111,Car Detailers,17200,34,13,1240,33,-500,,
8112,Commercial Cleaners,150100,62,60,1254,42,-1200,,
8113,Domestic Cleaners,36000,83,81,1302,42,200,,
8114,Housekeepers,36300,69,80,1230,40,2200,,
8115,Laundry Workers,16700,41,57,1154,45,1700,,
8116,Other Cleaners,14300,46,18,1342,42,300,,
8211,Building and Plumbing Labourers,70000,18,5,1827,32,-100,,
8212,Concreters,44600,13,3,2209,35,3200,,
8213,Fencers,13200,25,5,1249,46,100,,
8214,Insulation and Home Improvement Installers,25900,19,5,1606,38,-400,,
8215,Paving and Surfacing Labourers,7000,14,4,1383,44,0,,
8216,Railway Track Workers,5600,8,7,N/A,38,-100,,
8217,Structural Steel Construction Workers,26100,8,3,2910,34,1000,,
8219,Other Construction and Mining Labourers,8900,11,9,N/A,35,500,,
8311,Food and Drink Factory Workers,27900,18,29,1647,44,-600,,
8312,Meat Boners and Slicers and Slaughterers,7500,5,23,1627,38,200,,
8313,Meat Poultry and Seafood Process Workers,14600,14,31,1244,39,0,,
8321,Packers,54400,41,55,1366,36,-3300,,
8322,Product Assemblers,24500,10,26,1196,42,-100,,
8391,Metal Engineering Process Workers,7500,9,16,1212,46,-900,,
8392,Plastics and Rubber Factory Workers,2000,6,12,1609,44,100,,
8393,Product Quality Controllers,12400,15,46,1404,46,-100,,
8394,Timber and Wood Process Workers,4100,14,4,N/A,31,-300,,
8399,Other Factory Process Workers,11300,29,18,1519,37,-400,,
8411,Aquaculture Workers,1000,N/A,N/A,N/A,45,100,,
8412,Crop Farm Workers,18400,30,33,N/A,33,-1600,,
8413,Forestry and Logging Workers,2200,N/A,N/A,N/A,51,0,,
8414,Garden and Nursery Labourers,35200,38,17,N/A,42,800,,
8415,Livestock Farm Workers,29600,40,39,N/A,37,0,,
8416,Mixed Crop and Livestock Farm Workers,3200,32,35,N/A,33,-300,,
8419,Other Farm Forestry and Garden Workers,16500,21,15,N/A,42,700,,
8511,Fast Food Cooks,48800,84,30,977,18,-200,,
8512,Food Trades Assistants,4400,73,54,1380,30,-300,,
8513,Kitchenhands,149500,79,50,1292,22,100,,
8911,Freight and Furniture Handlers,16100,40,15,1652,29,500,,
8912,Shelf Fillers,71800,81,36,1022,23,300,,
8991,Caretakers,6100,37,26,1383,51,-400,,
8992,Deck and Fishing Hands,7100,26,3,1720,31,100,,
8993,Handypersons,43400,42,5,1538,53,0,,
8994,Motor Vehicle Parts and Accessories Fitters,15400,17,1,N/A,38,600,,
8995,Printing Assistants and Table Workers,2400,31,40,1253,39,-100,,
8996,Recycling and Rubbish Collectors,3400,25,23,1462,39,-200,,
8997,Vending Machine Attendants,4500,41,70,1150,32,0,,
8999,Other Miscellaneous Labourers,73300,44,29,1543,35,2500,,
111211,Corporate General Managers,60300,14,33,N/A,47,N/A,,
111212,Defence Force Senior Officers,1700,16,19,N/A,49,N/A,,
111311,Local Government Legislators,1300,47,52,N/A,57,N/A,,
111312,Members of Parliament,850,3,39,N/A,50,N/A,,
111399,Other Legislators,150,41,41,N/A,58,N/A,,
121211,Cotton Growers,270,8,13,N/A,45,N/A,,
121212,Flower Growers,1100,34,40,N/A,51,N/A,,
121213,Fruit and Nut Growers,8200,27,26,N/A,52,N/A,,
121214,Grain Oilseed and Pasture Growers,10500,20,22,N/A,54,N/A,,
121215,Grape Growers,4200,25,21,N/A,54,N/A,,
121216,Mixed Crop Farmers,2300,21,26,N/A,51,N/A,,
121217,Sugar Cane Growers,2500,18,18,N/A,60,N/A,,
121218,Turf Growers,390,16,14,N/A,48,N/A,,
121221,Vegetable Growers,6300,29,31,N/A,48,N/A,,
121299,Other Crop Farmers,2200,27,33,N/A,49,N/A,,
121311,Beekeepers,1600,32,21,N/A,49,N/A,,
121312,Beef Cattle Farmers,28400,29,33,N/A,62,N/A,,
121313,Dairy Cattle Farmers,8800,18,32,N/A,48,N/A,,
121314,Deer Farmers,40,N/A,N/A,N/A,N/A,N/A,,
121315,Goat Farmers,220,31,39,N/A,56,N/A,,
121316,Horse Breeders,1200,21,49,N/A,52,N/A,,
121317,Mixed Livestock Farmers,6400,21,30,N/A,59,N/A,,
121318,Pig Farmers,720,13,21,N/A,42,N/A,,
121321,Poultry Farmers,2600,19,28,N/A,46,N/A,,
121322,Sheep Farmers,10400,26,30,N/A,60,N/A,,
121399,Other Livestock Farmers,930,31,50,N/A,54,N/A,,
131112,Sales and Marketing Managers,118500,13,42,N/A,42,N/A,,
131113,Advertising Managers,2100,15,55,N/A,37,N/A,,
131114,Public Relations Managers,10800,15,72,N/A,41,N/A,,
133111,Construction Project Managers,60200,10,14,N/A,42,N/A,,
133112,Project Builders,47800,18,5,N/A,45,N/A,,
133311,Importers and Exporters,3200,33,35,N/A,48,N/A,,
133312,Wholesalers,11000,24,23,N/A,49,N/A,,
133511,Forest Managers,610,9,15,N/A,47,N/A,,
133512,Manufacturing Production Managers,34800,9,17,N/A,46,N/A,,
133513,Mine Managers,10900,5,14,N/A,45,N/A,,
133611,Supply and Distribution Managers,30100,8,22,N/A,45,N/A,,
133612,Procurement Managers,9900,9,35,N/A,46,N/A,,
134211,Medical Administrators,3600,26,76,N/A,47,N/A,,
134212,Nursing Clinical Directors,2400,11,87,N/A,50,N/A,,
134213,Primary Health Organisation Managers,270,21,73,N/A,49,N/A,,
134214,Welfare Centre Managers,1400,16,73,N/A,47,N/A,,
134299,Other Health and Welfare Services Managers,22800,15,73,N/A,46,N/A,,
134411,Faculty Heads,5200,10,58,N/A,51,N/A,,
134412,Regional Education Managers,1600,12,64,N/A,50,N/A,,
134499,Education Managers (not covered elsewhere),4100,21,69,N/A,45,N/A,,
135111,Chief Information Officers,7300,4,12,N/A,45,N/A,,
135112,ICT Project Managers,49600,8,27,N/A,43,N/A,,
135199,Other ICT Managers,9300,6,23,N/A,44,N/A,,
139111,Commissioned Defence Force Officers,8200,10,20,N/A,33,N/A,,
139112,Commissioned Fire Officers,1800,5,8,N/A,51,N/A,,
139113,Commissioned Police Officers,960,3,20,N/A,52,N/A,,
139911,Arts Administrators and Managers,2200,34,70,N/A,45,N/A,,
